time_step,iter,episodes,episode_reward_max,episode_reward_min,episode_reward_mean,policy_loss_0,total_loss_0,policy_loss_1,total_loss_1,policy_loss_2,total_loss_2,policy_loss_3,total_loss_3,policy_loss_4,total_loss_4,policy_reward_max_0,policy_reward_max_1,policy_reward_max_2,policy_reward_max_3,policy_reward_max_4,policy_reward_min_0,policy_reward_min_1,policy_reward_min_2,policy_reward_min_3,policy_reward_min_4,policy_reward_mean_0,policy_reward_mean_1,policy_reward_mean_2,policy_reward_mean_3,policy_reward_mean_4
2000,1,0,nan,nan,nan,0.32154074,21500154000.0,0.30652276,21500144000.0,0.42437106,21500148000.0,0.3659561,21500146000.0,0.3082155,21500154000.0,,,,,,,,,,,,,,,
4000,2,0,nan,nan,nan,0.071883366,21500030000.0,0.017746625,21500000000.0,0.016054638,21500030000.0,0.012470882,21500013000.0,0.05242264,21500029000.0,,,,,,,,,,,,,,,
6000,3,0,nan,nan,nan,0.016379911,21499790000.0,0.006387715,21499705000.0,0.022653803,21499790000.0,0.004547561,21499744000.0,0.0121928165,21499785000.0,,,,,,,,,,,,,,,
8000,4,0,nan,nan,nan,0.004640173,21499450000.0,0.0010635853,21499308000.0,0.036192127,21499433000.0,0.0007774513,21499367000.0,0.0022752404,21499427000.0,,,,,,,,,,,,,,,
10000,5,0,nan,nan,nan,0.0009935691,21498829000.0,0.0009896678,21498567000.0,0.006053056,21498792000.0,0.007230527,21498730000.0,0.0050358665,21498798000.0,,,,,,,,,,,,,,,
12000,6,0,nan,nan,nan,0.00064907316,21497980000.0,-0.00070968457,21497672000.0,-0.0045755655,21497946000.0,0.014647985,21497788000.0,0.0027979056,21497893000.0,,,,,,,,,,,,,,,
14000,7,0,nan,nan,nan,0.0018216334,21496830000.0,0.007934858,21496504000.0,0.01076504,21496770000.0,0.0048799952,21496689000.0,0.0123792095,21496800000.0,,,,,,,,,,,,,,,
16000,8,0,nan,nan,nan,0.0043884856,21496070000.0,0.0018445379,21495644000.0,0.042966582,21495970000.0,0.017353684,21495804000.0,0.006523371,21495947000.0,,,,,,,,,,,,,,,
18000,9,0,nan,nan,nan,0.0011230111,21494632000.0,0.002741727,21494108000.0,0.011516416,21494456000.0,0.0030544978,21494290000.0,0.0033908356,21494424000.0,,,,,,,,,,,,,,,
20000,10,0,nan,nan,nan,0.00029004924,21493346000.0,0.00499619,21492683000.0,0.031980805,21493142000.0,0.012967625,21492908000.0,0.00765205,21493006000.0,,,,,,,,,,,,,,,
22000,11,0,nan,nan,nan,0.00047274306,21491905000.0,0.014288973,21491157000.0,0.036223203,21491483000.0,0.03320978,21491442000.0,0.057886317,21491724000.0,,,,,,,,,,,,,,,
24000,12,0,nan,nan,nan,2.7764123e-05,21489916000.0,0.0011238158,21489260000.0,0.0750223,21489890000.0,0.07457738,21489570000.0,0.008701904,21489754000.0,,,,,,,,,,,,,,,
26000,13,0,nan,nan,nan,-3.4030527e-06,21487393000.0,0.009233176,21486731000.0,0.08471613,21487182000.0,0.05556692,21487399000.0,0.040067203,21487753000.0,,,,,,,,,,,,,,,
